PMID,FAU
32309622,"Zhu, Shudong # Guo, Xialing # Geary, Kyla # Zhang, Dianzheng"
32983152,"Mortaz, Esmaeil # Tabarsi, Payam # Varahram, Mohammad # Folkerts, Gert # Adcock, Ian M"
32293168,"Seo, Giwan # Lee, Geonhee # Kim, Mi Jeong # Baek, Seung # Choi, Minsuk # Ku, Keun Bon # Lee, Chang # Jun, Sangmi # Park, Daeui # Kim, Hong Gi # Kim, Seong # Lee, Jeong # Kim, Bum Tae # Park, Edmond Changkyun # Kim, Seung Il"
32374007,"Wan, D # Luo, X # Dong, W # Zhang, Z"
32205204,"Gautret, Philippe # Lagier, Jean # Parola, Philippe # Hoang, Van Thuan # Meddeb, Line # Mailhe, Morgane # Doudier, Barbara # Courjon, Johan # Giordanengo, Valérie # Vieira, Vera Esteves # Tissot Dupont, Hervé # Honoré, Stéphane # Colson, Philippe # Chabrière, Eric # La Scola, Bernard # Rolain, Jean # Brouqui, Philippe # Raoult, Didier"
32453685,"Zayet, Souheil # Klopfenstein, Timothée # Kov?cs, Róbert # Stancescu, Silviu # Hagenkötter, Beate"
32238232,"Wang, X # Ding, Y Q"
32253172,"Musa, Sherief"
32623723,"Checchi, Vittorio # Bellini, Pierantonio # Bencivenni, Davide # Consolo, Ugo"
32934351,"Marshall, Michael"
32212512,"Duan, Y J # Liu, Q # Zhao, S Q # Huang, F # Ren, L # Liu, L # Zhou, Y W"
32290293,"Tu, Yung # Chien, Chian # Yarmishyn, Aliaksandr A # Lin, Yi # Luo, Yung # Lin, Yi # Lai, Wei # Yang, De # Chou, Shih # Yang, Yi # Wang, Mong # Chiou, Shih"
32287039,"Abd # Alhuwail, Dari # Househ, Mowafa # Hamdi, Mounir # Shah, Zubair"
32620220,"Gulati, Aishwarya # Pomeranz, Corbin # Qamar, Zahra # Thomas, Stephanie # Frisch, Daniel # George, Gautam # Summer, Ross # DeSimone, Joseph # Sundaram, Baskaran"
32286947,"Liu, Ning # Tan, Jing # Li, Jingquan # Li, Shenghui # Cai, Yong # Wang, Hui"
32267987,"Rokni, Mohsen # Ghasemi, Vida # Tavakoli, Zahra"
32362642,"Chatterjee, Pranab # Nagi, Nazia # Agarwal, Anup # Das, Bhabatosh # Banerjee, Sayantan # Sarkar, Swarup # Gupta, Nivedita # Gangakhedkar, Raman R"
32490022,"Gharebaghi, Reza # Desuatels, Jordan # Moshirfar, Majid # Parvizi, Maryam # Daryabari, Seyed # Heidary, Fatemeh"
32374001,"Forouzesh, M # Rahimi, A # Valizadeh, R # Dadashzadeh, N # Mirzazadeh, A"
32160889,"Kamel Boulos, Maged N # Geraghty, Estella M"
32311437,"Wu, Jianguo # Liu, Jiasheng # Li, Shijun # Peng, Zhiyang # Xiao, Zhe # Wang, Xufeng # Yan, Ruicheng # Luo, Jianfei"
32237901,"Saghazadeh, Amene # Rezaei, Nima"
32245396,"Wang, Yun # Jin, Ying # Ren, Xue # Li, Yi # Zhang, Xiao # Zeng, Xian # Wang, Xing"
32291112,"Lythgoe, Mark P # Middleton, Paul"
32568687,"Robson, B"
32985201,"Wang, M # Liao, Z"
32412918,"Khan, Tahseen # Agnihotri, Kartikeya # Tripathi, Aditi # Mukherjee, Suneet # Agnihotri, Namita # Gupta, Gaurav"
32297988,"Sarma, Phulen # Kaur, Hardeep # Kumar, Harish # Mahendru, Dhruv # Avti, Pramod # Bhattacharyya, Anusuya # Prajapat, Manisha # Shekhar, Nishant # Kumar, Subodh # Singh, Rahul # Singh, Ashutosh # Dhibar, Deba Prasad # Prakash, Ajay # Medhi, Bikash"
32324531,"Chiang, Cho # Chiang, Cho # Chiang, Cho # Chen, Yee"
32303424,"Li, Guoping # He, Xiang # Zhang, Lei # Ran, Qin # Wang, Junyi # Xiong, Anying # Wu, Dehong # Chen, Feng # Sun, Jinlyu # Chang, Christopher"
32291376,"Burhan, Erlina # Prasenohadi, Prasenohadi # Rogayah, Rita # Isbaniyah, Fathiyah # Reisa, Tina # Dharmawan, Ibrahim"
32020915,"Habibzadeh, Parham # Stoneman, Emily K"
32316270,"Lentini, Giovanni # Cavalluzzi, Maria Maddalena # Habtemariam, Solomon"
32178954,"Zhao, Shuai # Ling, Ken # Yan, Hong # Zhong, Liang # Peng, Xiaohong # Yao, Shanglong # Huang, Jiapeng # Chen, Xiangdong"
32156648,"Lupia, Tommaso # Scabini, Silvia # Mornese Pinna, Simone # Di Perri, Giovanni # De Rosa, Francesco Giuseppe # Corcione, Silvia"
32124990,"Dey, Samrat K # Rahman, Md Mahbubur # Siddiqi, Umme R # Howlader, Arpita"
32452539,"Sheervalilou, Roghayeh # Shirvaliloo, Milad # Dadashzadeh, Nahid # Shirvalilou, Sakine # Shahraki, Omolbanin # Pilehvar # Ghaznavi, Habib # Khoei, Samideh # Nazarlou, Ziba"
32677821,"Yuan, Xi # Yang, Chengming # He, Qian # Chen, Junhu # Yu, Dongmei # Li, Jie # Zhai, Shiyao # Qin, Zhifeng # Du, Ke # Chu, Zhenhai # Qin, Peiwu"
32107577,"Xu, Xi # Yu, Chengcheng # Qu, Jing # Zhang, Lieguang # Jiang, Songfeng # Huang, Deyang # Chen, Bihua # Zhang, Zhiping # Guan, Wanhua # Ling, Zhoukun # Jiang, Rui # Hu, Tianli # Ding, Yan # Lin, Lin # Gan, Qingxin # Luo, Liangping # Tang, Xiaoping # Liu, Jinxin"
31996494,"Lu, Hongzhou"
32147731,"Marchand # Kozak, Rob # Mubareka, Samira # Salt, Natasha # Gubbay, Jonathan B # Eshaghi, Alireza # Allen, Vanessa # Li, Yan # Bastien, Natalie # Gilmour, Matthew # Ozaldin, Omar # Leis, Jerome A"
32343122,"Baig, Abdul Mannan"
32344310,"Geier, Mark R # Geier, David A"
32184131,"Su, Yu # Lai, Yen"
32574299,"Keni, Raghuvir # Alexander, Anila # Nayak, Pawan Ganesh # Mudgal, Jayesh # Nandakumar, Krishnadas"
32953365,"Pujari, Rishita # Thommana, Mary V # Ruiz Mercedes, Brisandi # Serwat, Ayna"
32968602,"Jones, Rebecca C # Ho, Jasper C # Kearney, Hannah # Glibbery, Meghan # Levin, Daniel L # Kim, John # Markovic, Sara # Howden, Jillian # Amar, Maya # Crowther, Mark A"
32298676,"Azzi, Lorenzo # Carcano, Giulio # Gianfagna, Francesco # Grossi, Paolo # Gasperina, Daniela Dalla # Genoni, Angelo # Fasano, Mauro # Sessa, Fausto # Tettamanti, Lucia # Carinci, Francesco # Maurino, Vittorio # Rossi, Agostino # Tagliabue, Angelo # Baj, Andreina"
32072569,"Cheng, Zhangkai J # Shan, Jing"
32249063,"Jiang, Shibo # Hillyer, Christopher # Du, Lanying"
32092911,"Goh, Gerard Kian # Dunker, A Keith # Foster, James A # Uversky, Vladimir N"
32265149,"Dong, Nianguo # Cai, Jie # Zhou, Ying # Liu, Junwei # Li, Fei"
32268644,"Yang, C # Ma, Q Y # Zheng, Y H # Yang, Y X"
32209231,"Robson, B"
