PMID,FAU
32515168,"Shivarov, Velizar # Ivanova, Milena"
32412679,"Singh, Anurag Kumar # Bhushan, Bharat # Maurya, Anand # Mishra, Gaurav # Singh, Santosh Kumar # Awasthi, Rajendra"
32252141,"Park, Su Eun"
32546439,"Du, Wenjun # Yu, Jinhong # Liu, Xiaoyan # Chen, Hong # Lin, Lingbo # Li, Qiang"
32794447,"Singanayagam, Anika # Patel, Monika # Charlett, Andre # Lopez Bernal, Jamie # Saliba, Vanessa # Ellis, Joanna # Ladhani, Shamez # Zambon, Maria # Gopal, Robin"
32376535,"Zhou, Yezhen # Zhang, Shihao # Chen, Jiayi # Wan, Chengsong # Zhao, Wei # Zhang, Bao"
33112526,"Meylan, Pascal"
32749243,"Liu, Yang"
32170865,"He, Feng # Deng, Yu # Li, Weina"
32397511,"D'Avolio, Antonio # Avataneo, Valeria # Manca, Alessandra # Cusato, Jessica # De Nicolò, Amedeo # Lucchini, Renzo # Keller, Franco # Cantù, Marco"
32325421,"Ganji, Ali # Farahani, Iman # Khansarinejad, Behzad # Ghazavi, Ali # Mosayebi, Ghasem"
32360182,"Mantlo, Emily # Bukreyeva, Natalya # Maruyama, Junki # Paessler, Slobodan # Huang, Cheng"
33000373,"Matos, João # Paparo, Francesco # Mori, Marco # Veneziano, Alessio # Sartini, Marina # Cristina, Maria Luisa # Rollandi, Gian Andrea"
32303108,"Deng, Junhua # Jin, Yipeng # Liu, Yuxiu # Sun, Jie # Hao, Liying # Bai, Jingjing # Huang, Tian # Lin, Degui # Jin, Yaping # Tian, Kegong"
32779309,"Dang, Dan # Wang, Liying # Zhang, Chuan # Li, Zhenyu # Wu, Hui"
33031087,"Sumbana, Jose # Sacarlal, Jahit # Rubino, Salvatore"
33061805,"Tizaoui, Kalthoum # Zidi, Ines # Lee, Keum Hwa # Ghayda, Ramy Abou # Hong, Sung Hwi # Li, Han # Smith, Lee # Koyanagi, Ai # Jacob, Louis # Kronbichler, Andreas # Shin, Jae Il"
33106832,"Chen, Hai # Chen, Zhi # Shen, Hua"
32803988,Páramo # Ortega # Calvo # Diego # Ariza # Otazu # Danés # Menchero
32629204,"Khashkhosha, Hind Khairi # Elhadi, Muhammed"
32641013,"Zhang, Lu # Dong, Lan # Ming, Lei # Wei, Min # Li, Jun # Hu, Ruheng # Yang, Jing"
32979477,"Weber, Stefanie # Ramirez, Christina # Doerfler, Walter"
33107038,"Sanghvi, Akanksha R"
32766833,"den Hartog, Gerco # Schepp, Rutger M # Kuijer, Marjan # GeurtsvanKessel, Corine # van Beek, Josine # Rots, Nynke # Koopmans, Marion P G # van der Klis, Fiona R M # van Binnendijk, Robert S"
32829260,"To, Teresa # Zhang, Kimball # Maguire, Bryan # Terebessy, Emilie # Fong, Ivy # Parikh, Supriya # Zhu, Jingqin"
32471278,"Orienti, Isabella # Gentilomi, Giovanna Angela # Farruggia, Giovanna"
33211418,"Marchetta, S # Lambermont, B # Massion, P # Rousseau, A F # Layios, N # Robinet, S # Canivet, J L # Kisoka, G # Ledoux, D # Morimont, P # Piret, S # Wiesen, P # Misset, B"
32579014,"Mönkemüller, Klaus # Fry, Lucia C # Rickes, Steffen"
32240972,"Guest, Jodie L # Del Rio, Carlos # Sanchez, Travis"
33038584,"Xu, Lizhou # Li, Danyang # Ramadan, Sami # Li, Yanbin # Klein, Norbert"
32677708,"Cook, T M"
32754161,"Choudhary, Shweta # Malik, Yashpal S # Tomar, Shailly"
32458279,"Sun, Duxin"
33028154,"Gaudreault, Natasha N # Trujillo, Jessie D # Carossino, Mariano # Meekins, David A # Morozov, Igor # Madden, Daniel W # Indran, Sabarish V # Bold, Dashzeveg # Balaraman, Velmurugan # Kwon, Taeyong # Artiaga, Bianca Libanori # Cool, Konner # García # Ma, Wenjun # Wilson, William C # Henningson, Jamie # Balasuriya, Udeni B R # Richt, Juergen A"
32755835,"Yadav, Rakhee # Aggarwal, Sandeep # Singh, Archna"
32825011,"Das, Undurti N"
32858226,Lozano # Galan # Martínez # Arellanos # Rivas
32791579,"Zhang, Ya # Yang, Xiuping # Li, Shuang # Xiao, Wei # Liu, Mengzhi # Xu, Xiaoxiang # Su, Hongguo # Wu, Tingting # Song, Peng # Chen, Xiong"
32736906,"Mai, Francesca # Del Pinto, Rita # Ferri, Claudio"
32345701,"Fishman, Jay A"
32562795,"Khalil, K # Agbontaen, K # McNally, D # Love, A # Mandalia, S # Banya, W # Starren, E # Dhunnookchand, R # Farne, H # Morton, R # Davies, G # Orhan, O # Lai, D # Nelson, M # Shah, P L # Garner, J L"
32682649,"Tranoulis, Anastasios # Georgiou, Dimitra"
33013929,"Xu, Wenxin # Wang, Mingjie # Yu, Demin # Zhang, Xinxin"
32711256,"Weiss, Anne # Jellingsø, Mads # Sommer, Morten Otto Alexander"
32641169,"Guo, Dongyu # Xia, Jianhua # Wang, Yang # Zhang, Xuhong # Shen, Ye # Tong, Jian"
32283139,"Wang, Zhongliang # Ma, Wanli # Zheng, Xin # Wu, Gang # Zhang, Ruiguang"
32527617,"Lam, Tommy Tsan"
32860861,"Jahromi, Reza # Mogharab, Vahid # Jahromi, Hossein # Avazpour, Arezoo"
32380382,"Lowe, Christopher F # Matic, Nancy # Ritchie, Gordon # Lawson, Tanya # Stefanovic, Aleksandra # Champagne, Sylvie # Leung, Victor # Romney, Marc G"
32721808,"Rajkumar, Ravi Philip"
32878977,"Gómez # Bello, Xabier # Pardo # Martinón # Salas, Antonio"
32434860,"Lewis, Philip # Erren, Thomas C"
32307322,"Chang, Tu # Wu, Jhong # Chang, Luan"
32531306,"Ghai, Suhani"
32392464,"Graham, Rachel L # Baric, Ralph S"
32878025,"Meloni, Federico # Campagna, Marcello # Restivo, Angelo # Cocco, Pierluigi"
32597471,"Ujiie, Mugen # Ohmagari, Norio # Inoue, Hajime"
32704354,"Singh, Sweta # Florez, Hector"
32871846,"Lehrer, Steven # Rheinstein, Peter H"
32315756,"Rahimi, Farid # Talebi Bezmin Abadi, Amin"
32594281,"Yao, Jing # Liu, Yanfang # Cheng, Jing"
32629273,"Adelodun, Bashir # Ajibade, Fidelis Odedishemi # Ibrahim, Rahmat Gbemisola # Bakare, Hashim Olalekan # Choi, Kyung"
32619698,"Lim, Key # Yang, Sumin # Kim, Sung # Joo, Jae"
32264957,"Qian, Xu # Ren, Ran # Wang, Youfa # Guo, Yan # Fang, Jing # Wu, Zhong # Liu, Pei # Han, Tie"
33097654,"Good, Michael F # Hawkes, Michael T"
32245395,"Zhou, Ting # Wei, Feng"
32255507,"Shahid, Zainab # Kalayanamitra, Ricci # McClafferty, Brendan # Kepko, Douglas # Ramgobin, Devyani # Patel, Ravi # Aggarwal, Chander Shekher # Vunnam, Ramarao # Sahu, Nitasa # Bhatt, Dhirisha # Jones, Kirk # Golamari, Reshma # Jain, Rohit"
32571224,"Ying, Mingliang # Lu, Bin # Pan, Jiangfeng # Lu, Guanghong # Zhou, Shaobin # Wang, Dingjun # Li, Lu # Shen, Junkang # Shu, Jiner"
32920291,"Wang, Nan # Han, Shengli # Liu, Rui # Meng, Liesu # He, Huaizhen # Zhang, Yongjing # Wang, Cheng # Lv, Yanni # Wang, Jue # Li, Xiaowei # Ding, Yuanyuan # Fu, Jia # Hou, Yajing # Lu, Wen # Ma, Weina # Zhan, Yingzhuan # Dai, Bingling # Zhang, Jie # Pan, Xiaoyan # Hu, Shiling # Gao, Jiapan # Jia, Qianqian # Zhang, Liyang # Ge, Shuai # Wang, Saisai # Liang, Peida # Hu, Tian # Lu, Jiayu # Wang, Xiangjun # Zhou, Huaxin # Ta, Wenjing # Wang, Yuejin # Lu, Shemin # He, Langchong"
32340051,"Weise, Judith # Schomerus, Georg # Speerforck, Sven"
32739797,"Ji, Tianxing # Liu, Zhenwei # Wang, GuoQiang # Guo, Xuguang # Akbar Khan, Shahzad # Lai, Changchun # Chen, Haoyu # Huang, Shiwen # Xia, Shaomei # Chen, Bo # Jia, Hongyun # Chen, Yangchao # Zhou, Qiang"
32114094,"Tian, Sufang # Hu, Weidong # Niu, Li # Liu, Huan # Xu, Haibo # Xiao, Shu"
32302435,"Yang, Xiaobo # Yang, Qingyu # Wang, Yaxin # Wu, Yongran # Xu, Jiqian # Yu, Yuan # Shang, You"
32707989,"Maugeri, Andrea # Barchitta, Martina # Agodi, Antonella"
32315079,"Genovese, Giovanni # Colonna, Cristiana # Marzano, Angelo V"
32141624,"Fang, Yaqing # Nie, Yiting # Penny, Marshare"
32805515,"Nuovo, Gerard # Tili, Esmerina # Suster, David # Matys, Eva # Hupp, Lance # Magro, Cynthia"
32989642,"Kim, Young # Casel, Mark Anthony B # Kim, Se # Kim, Seong # Park, Su # Kim, Eun # Jeong, Hye Won # Poo, Haryoung # Choi, Young Ki"
32810517,"Yang, Jee Myung # Koh, Hyun Yong # Moon, Sung Yong # Yoo, In Kyung # Ha, Eun Kyo # You, Seulgi # Kim, So Young # Yon, Dong Keon # Lee, Seung Won"
32276116,"Yan, C # Cui, J # Huang, L # Du, B # Chen, L # Xue, G # Li, S # Zhang, W # Zhao, L # Sun, Y # Yao, H # Li, N # Zhao, H # Feng, Y # Liu, S # Zhang, Q # Liu, D # Yuan, J"
32291377,"Setiati, Siti # Azwar, Muhammad Khifzhon"
32966645,"Goncharova, Ekaterina A # Dedkov, Vladimir G # Dolgova, Anna S # Kassirov, Ilia S # Safonova, Marina V # Voytsekhovskaya, Yana # Totolian, Areg A"
32609102,"Volgenant, C M C # Persoon, I F # de Ruijter, R A G # de Soet, J J"
32629113,"Mosig, Axel"
32399719,"Li, Hao # Xue, Qun # Xu, Xingshun"
32517266,"Jureka, Alexander S # Silvas, Jesus A # Basler, Christopher F"
32504925,"Nicolau, Lucas A D # Magalhães, Pedro J C # Vale, Mariana L"
32891677,"Michel, Detlef # Danzer, Karin M # Groß, Rüdiger # Conzelmann, Carina # Müller, Janis A # Freischmidt, Axel # Weishaupt, Jochen H # Heller, Sandra # Münch, Jan # Michel, Manuela # Stamminger, Thomas # Kleger, Alexander # Otto, Markus"
32403995,"Dong, Jianbo # Huang, Betty # Jia, Zhejun # Wang, Bo # Gallolu Kankanamalage, Sachith # Titong, Allison # Liu, Yue"
33119979,"Lago, Paolo # Albano, Giuseppe # Toscani, Marco # Albera, Roberto # Grugnetti, Anna Maria # Dell'Olivo, Bianca"
32343593,"Mönkemüller, Klaus # Fry, Lucia # Rickes, Steffen"
32699345,"Toyoshima, Yujiro # Nemoto, Kensaku # Matsumoto, Saki # Nakamura, Yusuke # Kiyotani, Kazuma"
32750338,"Day, Troy # Gandon, Sylvain # Lion, Sébastien # Otto, Sarah P"
32412303,"Martinez # Vega # Bobadilla, Norma A"
32992592,"Wang, Rui # Hozumi, Yuta # Zheng, Yong # Yin, Changchuan # Wei, Guo"
32334082,"Liu, Furong # Long, Xin # Zhang, Bixiang # Zhang, Wanguang # Chen, Xiaoping # Zhang, Zhanguo"
32720537,"Bradford, Tamara"
33006317,"Vanden Driessche, Koen # Nestele, Jeremy # Grouwels, Jeroen # Duval, Els Lim"
32356025,"Pernazza, Angelina # Mancini, Massimiliano # Rullo, Emma # Bassi, Massimiliano # De Giacomo, Tiziano # Rocca, Carlo Della # d'Amati, Giulia"
32565763,"Reina, J"
32450761,"Riestra # Yanes # Penuelas, Oscar # Molina # Sanz # Martin"
32463078,"Niccoli, Giampaolo # Luescher, Thomas F # Crea, Filippo"
32682660,"Guo, Yongwen # Jing, Yan # Wang, Yunshi # To, Aileen # Du, Shufang # Wang, Liuzheng # Bai, Ding"
32634587,"Lorenzo, Dioscoridi # Carrisi, Chiara"
32787373,"Zha, Lulu # Xu, Xi # Wang, Dongya # Qiao, Guibin # Zhuang, Weitao # Huang, Shujie"
32755455,"Albiero, Remo # Seresini, Giuseppe"
32438257,"Denner, Joachim"
32471829,"Tan, Yongjun # Schneider, Theresa # Leong, Matthew # Aravind, L # Zhang, Dapeng"
32437547,"Roxby, Alison C # Greninger, Alexander L # Hatfield, Kelly M # Lynch, John B # Dellit, Timothy H # James, Allison # Taylor, Joanne # Page, Libby C # Kimball, Anne # Arons, Melissa # Munanga, Albert # Stone, Nimalie # Jernigan, John A # Reddy, Sujan C # Lewis, James # Cohen, Seth A # Jerome, Keith R # Duchin, Jeffrey S # Neme, Santiago"
32836085,"Voulgaris, Athanasios # Ferini # Steiropoulos, Paschalis"
32572869,"Reisinger, Emil C # von Possel, Ronald # Warnke, Philipp # Geerdes # Hemmer, Christoph J # Pfefferle, Susanne # Löbermann, Micha # Littmann, Martina # Emmerich, Petra"
32498721,"Kim, Soyoung # Choi, Sunhwa # Ko, Youngsuk # Ki, Moran # Jung, Eunok"
32274617,"Nikolich # Knox, Kenneth S # Rios, Carlos Tafich # Natt, Bhupinder # Bhattacharya, Deepta # Fain, Mindy J"
32514586,"Polito, Maria Vincenza # Ravera, Amelia"
32966712,"Kutsuna, Satoshi # Asai, Yusuke # Matsunaga, Akihiro"
32561990,"Ghannam, Malik # Alshaer, Qasem # Al # Zakarna, Lara # Robertson, Jetter # Manousakis, Georgios"
33050915,"Cacho, Pedro Muñoz # Hernández, José L # López # Martínez"
32127123,"Bordi, Licia # Nicastri, Emanuele # Scorzolini, Laura # Di Caro, Antonino # Capobianchi, Maria Rosaria # Castilletti, Concetta # Lalle, Eleonora # On Behalf Of Inmi Covid"
32463026,"Stefano, Michelle L # Kream, Richard M # Stefano, George B"
32967693,"Caccuri, Francesca # Zani, Alberto # Messali, Serena # Giovanetti, Marta # Bugatti, Antonella # Campisi, Giovanni # Filippini, Federica # Scaltriti, Erika # Ciccozzi, Massimo # Fiorentini, Simona # Caruso, Arnaldo"
33292923,"Amendola, Antonella # Bianchi, Silvia # Gori, Maria # Colzani, Daniela # Canuti, Marta # Borghi, Elisa # Raviglione, Mario C # Zuccotti, Gian Vincenzo # Tanzi, Elisabetta"
32474362,"Kishfy, Louis # Casasola, Marcel # Banankhah, Peymaan # Parvez, Arshi # Jan, Yu Jen # Shenoy, Anant M # Thomson, Carey # AbdelRazek, Mahmoud A"
32387212,"Abbas, Abdul # Abbas, Abdallah # Ali, Yousif # Memon, Sara Fatima"
32611915,"Sapkal, Gajanan # Shete # Jain, Rajlaxmi # Yadav, Pragya D # Sarkale, Prasad # Lakra, Rajen # Baradkar, Srikant # Deshpande, Gururaj Rao # Mali, Deepak # Tilekar, Bipin N # Majumdar, Triparna # Kaushal, Himanshu # Gurav, Yogesh # Gupta, Nivedita # Mohandas, Sreelekshmy # Deshpande, Ketki # Kaduskar, Ojas # Salve, Malvika # Patil, Savita # Gaikwad, Shivshankar # Sugunan, A P # Ashok, M # Giri, Sidhartha # Shastri, Jayanthi # Abraham, Priya # Gangakhedkar, Raman R"
32931348,"Noun, Peter # Ibrahim, Ahmad # Hodroj, Mohammad Hassan # Bou # Taher, Ali T"
32487335,"Piras, Antonio # Rizzo, Davide # Longoni, Eleonora # Turra, Nicola # Urru, Silvana # Saba, Pier Paolo # Musumano, Lucia # Bussu, Francesco"
32418199,"Bourgonje, Arno R # Abdulle, Amaal E # Timens, Wim # Hillebrands, Jan # Navis, Gerjan J # Gordijn, Sanne J # Bolling, Marieke C # Dijkstra, Gerard # Voors, Adriaan A # Osterhaus, Albert Dme # van der Voort, Peter Hj # Mulder, Douwe J # van Goor, Harry"
32452195,"Rajewska, Aleksandra # Mikolajek # Lebdowicz # Sokolowska, Malgorzata # Kwiatkowski, Sebastian # Torbé, Andrzej"
32747721,"Huang, Yuan # Yang, Chan # Xu, Xin # Xu, Wei # Liu, Shu"
33017910,"Niv, Yaron"
32363381,"Zhou, Ruihai"
33123087,"Bhattacharya, Indranil # Ghayor, Chafik # Pérez Dominguez, Ana # Weber, Franz E"
32783136,"Zupin, Luisa # Pascolo, Lorella # Zito, Gabriella # Ricci, Giuseppe # Crovella, Sergio"
32429517,"Scafetta, Nicola"
32445430,"Phakey, Akshay # Chodhari, Rahul # Gabbie, Susie"
32901696,"Delatorre, Edson # Mir, Daiana # Gräf, Tiago # Bello, Gonzalo"
32291382,"Ella, Krishna M # Mohan, V Krishna"
32281331,"Pang, Wen # Jin, Xin # Pang, Bo # Yang, Feng # Wang, Hui # Liu, Chun # Zheng, Wen # Zhang, Jun"
32706099,"Singh, Harpreet # Popli, Tarun"
32838449,"Zöllkau, Janine # Hagenbeck, Carsten # Hecher, Kurt # Pecks, Ulrich # Schlembach, Dietmar # Simon, Arne # Schlösser, Rolf # Schleußner, Ekkehard"
32564623,"Joshi, Siddhi # Joshi, Maithili # Degani, Mariam S"
32706750,"Benoit, Justin # Benoit, Stefanie W # Lippi, Giuseppe # Henry, Brandon Michael"
32667665,"Jia, Zhilong # Song, Xinyu # Shi, Jinlong # Wang, Weidong # He, Kunlun"
32526058,"Zhang, Litao"
32404481,"Smith, Kenneth P # Cheng, Annie # Chopelas, Amber # DuBois # Mezghani, Ikram # Rodriguez, Shade # Talay, Mustafa # Kirby, James E"
32425317,"Ota, Ichiro # Asada, Yukinori"
32310028,"Sadhu, Soumen # Agrawal, Rupesh # Pyare, Richa # Pavesio, Carlos # Zierhut, Manfred # Khatri, Anadi # Smith, Justine R # de Smet, Marc D # Biswas, Jyotirmay"
32289821,"Xia, Xuhua"
32513859,"Theel, Elitza S # Harring, Julie # Hilgart, Heather # Granger, Dane"
32758963,"Filippini, Tommaso # Rothman, Kenneth J # Goffi, Alessia # Ferrari, Fabrizio # Maffeis, Giuseppe # Orsini, Nicola # Vinceti, Marco"
33120555,"Hattaf, Khalid # Yousfi, Noura"
33006300,"Ziegler, Katharina # Steininger, Philipp # Ziegler, Renate # Steinmann, Jörg # Korn, Klaus # Ensser, Armin"
32460458,"Kang, Chang Kyung # Seong, Moon # Choi, Su # Kim, Taek Soo # Choe, Pyoeng Gyun # Song, Sang Hoon # Kim, Nam # Park, Wan Beom # Oh, Myoung"
32883007,"van Eeden, Charmaine # Khan, Lamia # Osman, Mohammed S # Cohen Tervaert, Jan Willem"
33215613,"Tomei Torres, Francisco Alberto"
32490731,"Gelman, Ram # Bayatra, Areej # Kessler, Asa # Schwartz, Asaf # Ilan, Yaron"
32849309,"Pasquarelli # Braz # Faria, Sara Socorro # Santos, Igor de Oliveira # Kobinger, Gary P # Magalhães, Kelly Grace"
32515390,"Sharma, J B # Sharma, Eshani"
32403242,"Aboughdir, Maryam # Kirwin, Thomas # Abdul Khader, Ashiq # Wang, Brian"
32557535,"Maquet, Julien # Lafaurie, Margaux # Sommet, Agnès # Moulis, Guillaume"
32568661,"Fears, Alyssa C # Klimstra, William B # Duprex, Paul # Hartman, Amy # Weaver, Scott C # Plante, Kenneth S # Mirchandani, Divya # Plante, Jessica Ann # Aguilar, Patricia V # Fernández, Diana # Nalca, Aysegul # Totura, Aysegul # Dyer, David # Kearney, Brian # Lackemeyer, Matthew # Bohannon, J Kyle # Johnson, Reed # Garry, Robert F # Reed, Doug S # Roy, Chad J"
33067385,"Beaudoin # Laumaea, Annemarie # Anand, Sai Priya # Prévost, Jérémie # Gasser, Romain # Goyette, Guillaume # Medjahed, Halima # Perreault, Josée # Tremblay, Tony # Lewin, Antoine # Gokool, Laurie # Morrisseau, Chantal # Bégin, Philippe # Tremblay, Cécile # Martel # Kaufmann, Daniel E # Richard, Jonathan # Bazin, Renée # Finzi, Andrés"
32289516,"Cai, Yixin # Hao, Zhipeng # Gao, Yi # Ping, Wei # Wang, Qi # Peng, Shu # Zhao, Bo # Sun, Wei # Zhu, Min # Li, Kaiyan # Han, Ying # Kuang, Dong # Chu, Qian # Fu, Xiangning # Zhang, Ni"
32324118,"Adams, Mary L # Katz, David L # Grandpre, Joseph"
32241056,"Dai, F Q # Guo, W # Deng, B # Tao, S L # Jiang, B # Wang, Y J # Cheng, N # Wu, X L # Wang, Z H # Bao, T # Tan, Q Y"
32335560,"Shittu, Mujeeb Olushola # Afolami, Olufemi Ifeoluwa"
32273607,"Stower, Hannah"
32385568,"Flemming, S # Hankir, M # Ernestus, R # Seyfried, F # Germer, C # Meybohm, P # Wurmb, T # Vogel, U # Wiegering, A"
32858292,"Tung, Nguyen Thanh # Cheng, Po # Chi, Kai # Hsiao, Ta # Jones, Timothy # BéruBé, Kelly # Ho, Kin # Chuang, Hsiao"
32266822,"Morty, Rory E # Ziebuhr, John"
33120621,"Kannan, Naresh Babu # Sen, Sagnik # Reddy, Harshavardhan # Kumar, Karthik # Rajan, Renu P # Ramasamy, Kim"
32198983,"Wang, H J"
33261718,"Gallais, Floriane # Velay, Aurélie # Nazon, Charlotte # Wendling, Marie # Partisani, Marialuisa # Sibilia, Jean # Candon, Sophie # Fafi"
32768971,"Dos Santos, Wagner Gouvea"
32879113,"Gong, Subo # Su, Jing # Yan, Xianghong # Li, Fang # Hu, Lang # Liu, Shaokun"
32978311,"Nguyen # Embong, A Karim # Kanagaiah, Preshetha # Chaves, Francisco A # Yang, Hongmei # Branche, Angela R # Topham, David J # Sangster, Mark Y"
32941419,"Zhao, Zhengqiao # Sokhansanj, Bahrad A # Malhotra, Charvi # Zheng, Kitty # Rosen, Gail L"
32673522,"Inagaki, Hiroko # Saito, Akatsuki # Sugiyama, Hironobu # Okabayashi, Tamaki # Fujimoto, Shouichi"
32998488,"Taxt, Arne Michael # Grødeland, Gunnveig # Lind, Andreas # Müller, Fredrik"
32811981,"Ledford, Heidi"
32428215,"Dolk, Helen"
32220178,"Yan, Cai # Li, Jia # Shen, Xin # Luo, Li # Li, Yan # Li, Ming"
32865077,"Zhan, Ting # Liu, Meng # Tang, Yalin # Han, Zheng # Cheng, Xueting # Deng, Junsheng # Chen, Xiaoli # Tian, Xia # Huang, Xiaodong"
32397011,"Lian, Jiangshan # Jin, Xi # Hao, Shaorui # Jia, Hongyu # Cai, Huan # Zhang, Xiaoli # Hu, Jianhua # Zheng, Lin # Wang, Xiaoyan # Zhang, Shanyan # Ye, Chanyuan # Jin, Ciliang # Yu, Guodong # Gu, Jueqing # Lu, Yingfeng # Yu, Xiaopeng # Xiang, Dairong # Li, Lanjuan # Liang, Tingbo # Sheng, Jifang # Yang, Yida"
32844713,"Yi, Zhigang # Ling, Yun # Zhang, Xiaonan # Chen, Jieliang # Hu, Kongying # Wang, Yuyan # Song, Wuhui # Ying, Tianlei # Zhang, Rong # Lu, HongZhou # Yuan, Zhenghong"
32769232,"Kohli, Utkarsh # Lodha, Rakesh"
33016678,"Putilina, M V # Grishin, D V"
32591714,"Sampson, Victoria # Kamona, Nawar # Sampson, Ariane"
32313159,"Mallapaty, Smriti"
32361324,"Xiao, Ai Tang # Tong, Yi Xin # Gao, Chun # Zhu, Li # Zhang, Yu Jie # Zhang, Sheng"
32077115,"Zhang, Jin # Dong, Xiang # Cao, Yi # Yuan, Ya # Yang, Yi # Yan, You # Akdis, Cezmi A # Gao, Ya"
32861965,"Uzunova, Katya # Filipova, Elena # Pavlova, Velichka # Vekov, Toni"
32710969,"Lisi, Lucia # Lacal, Pedro Miguel # Barbaccia, Maria Luisa # Graziani, Grazia"
32200109,"Zhang, Jing # Yan, Kun # Ye, Hong # Lin, Jie # Zheng, Jian # Cai, Ting"
32659267,"Hannan, Md Abdul # Rahman, Md Ataur # Rahman, Md Saidur # Sohag, Abdullah Al Mamun # Dash, Raju # Hossain, Khandkar Shaharina # Farjana, Mithila # Uddin, Md Jamal"
32758693,"Zhao, Dong # Wang, Mengmei # Wang, Ming # Zhao, Yang # Zheng, Zhishui # Li, Xiaochen # Zhang, Yunting # Wang, Tao # Zeng, Shaolin # Hu, Weihua # Yu, Wenzhen # Hu, Ke"
32223063,"Tarantini, Giuseppe # Fraccaro, Chiara # Chieffo, Alaide # Marchese, Alfredo # Tarantino, Fabio Felice # Rigattieri, Stefano # Limbruno, Ugo # Mauro, Ciro # La Manna, Alessio # Castiglioni, Battistina # Longoni, Matteo # Berti, Sergio # Greco, Francesco # Musumeci, Giuseppe # Esposito, Giovanni"
32645348,"Eckerle, Isabella # Meyer, Benjamin"
33104143,"Wang, Shiru # Green, Hyatt C # Wilder, Maxwell L # Du, Qian # Kmush, Brittany L # Collins, Mary B # Larsen, David A # Zeng, Teng"
32828990,"Robson, B"
32559282,"Otto, William R # Geoghegan, Sarah # Posch, Leila C # Bell, Louis M # Coffin, Susan E # Sammons, Julia S # Harris, Rebecca M # Odom John, Audrey R # Luan, Xianqun # Gerber, Jeffrey S"
32405156,"Fantini, Jacques # Chahinian, Henri # Yahi, Nouara"
32409232,"Musolino, Anna Maria # Supino, Maria Chiara # Buonsenso, Danilo # Ferro, Valentina # Valentini, Piero # Magistrelli, Andrea # Lombardi, Mary Haywood # Romani, Lorenza # D'Argenio, Patrizia # Campana, Andrea"
33160560,"George, Thukalan Paulose"
33031548,"Rutkowski, James L"
32900007,"Tang, Eric W # Bobenchik, April M # Lu, Shaolei"
33116943,"Mazzotta, Cosimo # Giancipoli, Ermete"
32330410,"Muniz # Chowell, Gerardo # Cheung, Chi # Jia, Dongyu # Lai, Po # Lee, Yiseul # Liu, Manyun # Ofori, Sylvia K # Roosa, Kimberlyn M # Simonsen, Lone # Viboud, Cecile # Fung, Isaac Chun"
32492560,"Abeygunasekera, Anuruddha # Jayasinghe, Saroj"
32636851,"Colunga Biancatelli, Ruben Manuel Luciano # Berrill, Max # Catravas, John D # Marik, Paul E"
32744901,"Saniasiaya, Jeyasakthy # Kulasegarah, Jeyanthi"
32883935,"Jacob, Jobin John # Vasudevan, Karthick # Veeraraghavan, Balaji # Iyadurai, Ramya # Gunasekaran, Karthik"
33031734,"Frank, Stephan"
32712106,"Manna, Sounik # Baindara, Piyush # Mandal, Santi M"
32594577,"Hu, Xiumei # An, Taixue # Situ, Bo # Hu, Yuhai # Ou, Zihao # Li, Qiang # He, Xiaojing # Zhang, Ye # Tian, Peifu # Sun, Dehua # Rui, Yongyu # Wang, Qian # Ding, Dan # Zheng, Lei"
33034284,"Ulrich, Lorenz # Wernike, Kerstin # Hoffmann, Donata # Mettenleiter, Thomas C # Beer, Martin"
32397911,"Amawi, Haneen # Abu Deiab, Ghina'a I # A Aljabali, Alaa A # Dua, Kamal # Tambuwala, Murtaza M"
32845393,"Leipe, J # Hoyer, B F # Iking # Schulze # Specker, C # Krüger, K"
32853310,"Moneriz, Carlos # Castro"
32600125,"Conte, Luana # Toraldo, Domenico Maurizio"
32651073,"Mariscal Aguilar, Pablo # Zamarrón De Lucas, Ester # Álvarez"
32667418,"Oba, Jane # Carvalho, Werther Brunow de # Silva, Clovis Artur # Delgado, Artur Figueiredo"
32561291,"Sureda, Antoni # Alizadeh, Javad # Nabavi, Seyed Fazel # Berindan # Cismaru, Cosmin Andrei # Jeandet, Philippe # Los, Marek J # Clementi, Emilio # Nabavi, Seyed Mohammad # Ghavami, Saeid"
32731141,"Gottlieb, Michael # Long, Brit"
32442105,"Rothan, Hussin A # Stone, Shannon # Natekar, Janhavi # Kumari, Pratima # Arora, Komal # Kumar, Mukesh"
32183941,"Grifoni, Alba # Sidney, John # Zhang, Yun # Scheuermann, Richard H # Peters, Bjoern # Sette, Alessandro"
32851969,"Hussain, Tanweer # Saman, Harman Talat # Yousaf, Zohaib"
32570995,"Selvaraj, Vijairam # Dapaah # Finn, Arkadiy # Flanigan, Timothy P"
33077899,"Rattanapisit, Kaewta # Shanmugaraj, Balamurugan # Manopwisedjaroen, Suwimon # Purwono, Priyo Budi # Siriwattananon, Konlavat # Khorattanakulchai, Narach # Hanittinan, Oranicha # Boonyayothin, Wanuttha # Thitithanyanont, Arunee # Smith, Duncan R # Phoolcharoen, Waranyoo"
